S&P 500 Companies,Ticker,Sector,Market Cap ($B),PE Ratio (TTM), # Employees,SEC filings
Walmart,WMT,Retail Trade,407.63,22.9,2200000,reports
Amazon.com Inc.,AMZN,Retail Trade,1605.05,122.1,798000,reports
Accenture plc,ACN,Technology Services,151.35,28.9,506000,reports
United Parcel Service,UPS,Transportation,148.41,34.4,495000,reports
Kroger Co.,KR,Retail Trade,25.37,9.9,435000,reports
Home Depot,HD,Retail Trade,304.64,25.8,415700,reports
Berkshire Hathaway,BRK.B,Finance,508,23.2,391500,reports
International Business Machines,IBM,Technology Services,103.31,13.1,383800,reports
Target Corp.,TGT,Retail Trade,80.21,23,368000,reports
Starbucks Corp.,SBUX,Consumer Services,106.15,80.7,346000,reports
Walgreens Boots Alliance,WBA,Retail Trade,32.94,75.9,331000,reports
UnitedHealth Group Inc.,UNH,Health Services,314.18,18.7,325000,reports
Lowe’s Cos.,LOW,Retail Trade,130.09,22.8,320000,reports
Cognizant Technology Solutions,CTSH,Technology Services,40.19,24.8,292500,reports
CVS Health,CVS,Retail Trade,78.85,9.4,290000,reports
TJX Companies Inc.,TJX,Retail Trade,68.37,99.2,286000,reports
HCA Healthcare,HCA,Health Services,46.17,13.9,280000,reports
Costco Wholesale Corp.,COST,Retail Trade,165.28,41.7,273000,reports
PepsiCo Inc.,PEP,Consumer Non-Durables,192.87,27.7,267000,reports
Wells Fargo,WFC,Finance,96.2,62.6,259800,reports
JPMorgan Chase & Co.,JPM,Finance,316.37,13.4,256981,reports
AT&T Inc.,T,Communications,198.22,18.6,246000,reports
FedEx Corporation,FDX,Transportation,74.46,40.7,245000,reports
Raytheon Technologies,RTX,Electronic Technology,95.59,,243200,reports
The Walt Disney Company,DIS,Consumer Services,231.94,,223000,reports
Bank of America Corp,BAC,Finance,215.74,12.3,208000,reports
Robert Half International,RHI,Commercial Services,5.92,19.8,205600,reports
McDonald’s Corp.,MCD,Consumer Services,170.18,36.3,205000,reports
General Electric,GE,Electronic Technology,66.79,18.9,205000,reports
Citigroup Inc.,C,Finance,91.5,8.6,200000,reports
Dollar Tree,DLTR,Retail Trade,22.66,25.1,193100,reports
Comcast Corp.,CMCSA,Consumer Services,205.84,18.1,190000,reports
Ford Motor Company,F,Consumer Durables,32.46,,190000,reports
Darden Restaurants,DRI,Consumer Services,12.96,,177000,reports
Marriott Int’l.,MAR,Consumer Services,33,72.8,174000,reports
Hilton Worldwide Holdings Inc,HLT,Consumer Services,26.24,736.8,173000,reports
General Motors,GM,Consumer Durables,52.71,35.6,164000,reports
Microsoft Corp.,MSFT,Technology Services,1635.31,37.3,163000,reports
Boeing Company,BA,Electronic Technology,94.47,,161100,reports
Dollar General,DG,Retail Trade,53.65,23.3,143000,reports
Aptiv PLC,APTV,Producer Manufacturing,27.08,15.2,141000,reports
Tyson Foods,TSN,Consumer Non-Durables,21.45,12.1,141000,reports
DXC Technology,DXC,Technology Services,5.04,,138000,reports
Apple Inc.,AAPL,Electronic Technology,1994.48,35.2,137000,reports
Verizon Communications,VZ,Communications,239.84,13,135000,reports
Oracle Corp.,ORCL,Technology Services,180.35,18.7,135000,reports
American Airlines Group,AAL,Transportation,6.41,,133700,reports
Johnson & Johnson,JNJ,Health Technology,382.39,22.8,132200,reports
Gap Inc.,GPS,Retail Trade,8,,129000,reports
Best Buy Co. Inc.,BBY,Retail Trade,30.6,18.9,125000,reports
KOHLS Corp,KSS,Retail Trade,3.78,,122000,reports
Alphabet Inc. (Class C),GOOG,Technology Services,1116.15,36,118899,reports
Alphabet Inc. (Class A),GOOGL,Technology Services,1110.69,35.8,118899,reports
Honeywell Int’l Inc.,HON,Producer Manufacturing,123.19,21.8,113000,reports
Intel Corp.,INTC,Electronic Technology,204.99,10.6,110800,reports
Lockheed Martin Corp.,LMT,Electronic Technology,104.64,15.9,110000,reports
Abbott Laboratories,ABT,Health Technology,190.85,57.9,107000,reports
Schlumberger Ltd.,SLB,Industrial Services,21.44,,105000,reports
Johnson Controls International,JCI,Producer Manufacturing,33.04,43.8,104000,reports
General Dynamics,GD,Electronic Technology,40.37,12.4,102900,reports
Caterpillar Inc.,CAT,Producer Manufacturing,91.29,22.7,102300,reports
Eaton Corporation,ETN,Producer Manufacturing,43.93,29.6,101000,reports
CBRE Group,CBRE,Finance,15.64,13.8,100000,reports
Procter & Gamble,PG,Consumer Non-Durables,353.05,27,99000,reports
3M Company,MMM,Producer Manufacturing,97.81,19.4,96163,reports
United Airlines Holdings,UAL,Transportation,11.06,,96000,reports
Charter Communications,CHTR,Consumer Services,121.56,56.6,95100,reports
L Brands Inc.,LB,Retail Trade,9.66,,94400,reports
Ross Stores,ROST,Retail Trade,33.97,61.9,92500,reports
Delta Air Lines Inc.,DAL,Transportation,21.68,,91000,reports
Medtronic plc,MDT,Health Technology,149.79,34.2,90000,reports
Northrop Grumman,NOC,Electronic Technology,51.42,20.7,90000,reports
Pfizer Inc.,PFE,Health Technology,212.16,14.9,88300,reports
Emerson Electric Company,EMR,Producer Manufacturing,41.84,21.8,88000,reports
Coca-Cola Company,KO,Consumer Non-Durables,217.11,26.3,86200,reports
Royal Caribbean Group,RCL,Consumer Services,14.38,,85400,reports
Chipotle Mexican Grill,CMG,Consumer Services,37.47,155.6,83000,reports
O’Reilly Automotive,ORLY,Retail Trade,34.55,22.4,82167,reports
Universal Health Services,UHS,Health Services,9.82,13.2,80800,reports
H&R BLOCK INC,HRB,Consumer Services,3.55,15.2,80500,reports
Mondelez International,MDLZ,Consumer Non-Durables,80.86,23.9,80000,reports
McKesson Corp.,MCK,Distribution Services,25.37,27.4,80000,reports
Linde plc,LIN,Process Industries,123.08,55.1,79886,reports
TE Connectivity Ltd.,TEL,Electronic Technology,35.08,,78000,reports
Cisco Systems,CSCO,Technology Services,163.86,14.8,77500,reports
Whirlpool Corp.,WHR,Consumer Durables,12.39,14.1,77000,reports
Marsh & McLennan,MMC,Finance,57.59,28.7,76000,reports
"Nike, Inc.",NKE,Consumer Non-Durables,204.06,77.6,75400,reports
Thermo Fisher Scientific,TMO,Health Technology,189.95,39.5,75000,reports
Exxon Mobil Corp.,XOM,Energy Minerals,144.44,20.8,74900,reports
Amphenol Corp,APH,Electronic Technology,35.73,31.3,74000,reports
CIGNA Corp.,CI,Health Services,67.74,12.8,73700,reports
Philip Morris International,PM,Consumer Non-Durables,115.94,15.2,73500,reports
Deere & Co.,DE,Producer Manufacturing,75.06,27.6,73500,reports
Merck & Co.,MRK,Health Technology,201.91,19.3,71000,reports
Anthem,ANTM,Health Services,78.16,13.3,70600,reports
Becton Dickinson,BDX,Health Technology,69.65,86.7,70093,reports
MGM Resorts International,MGM,Consumer Services,11.52,6,70000,reports
Omnicom Group,OMC,Commercial Services,11.33,12,70000,reports
U.S. Bancorp,USB,Finance,61.25,13.4,69651,reports
Otis Worldwide,OTIS,Producer Manufacturing,27.48,,69000,reports
Baker Hughes Co,BKR,Industrial Services,9.38,,68000,reports
NORDSTROM INC,JWN,Retail Trade,2.25,,68000,reports
IQVIA Holdings Inc.,IQV,Health Services,32.11,188.7,67000,reports
Advance Auto Parts,AAP,Retail Trade,10.7,23.5,67000,reports
Laboratory Corp. of America Holding,LH,Health Services,20.21,55.9,65000,reports
DaVita Inc.,DVA,Health Services,11.11,14.5,65000,reports
American Express Co,AXP,Finance,81.31,25.9,64500,reports
Western Digital,WDC,Electronic Technology,12.69,,63800,reports
Hanesbrands Inc,HBI,Consumer Non-Durables,6.12,12.1,63000,reports
Cummins Inc.,CMI,Producer Manufacturing,33.42,19.9,61615,reports
Hewlett Packard Enterprise,HPE,Electronic Technology,12.19,,61600,reports
Sherwin-Williams,SHW,Process Industries,62.22,36.1,61111,reports
Marathon Petroleum,MPC,Energy Minerals,19.45,,60910,reports
Southwest Airlines,LUV,Transportation,25.24,,60800,reports
Morgan Stanley,MS,Finance,81.79,8.7,60431,reports
Danaher Corp.,DHR,Health Technology,165.05,54.1,60000,reports
Stanley Black & Decker,SWK,Consumer Durables,28.42,34,59438,reports
Truist Financial,TFC,Finance,59.24,14.8,59000,reports
Automatic Data Processing,ADP,Technology Services,64.13,26.1,58000,reports
Sysco Corp.,SYY,Distribution Services,32.99,166.4,57000,reports
Centene Corporation,CNC,Health Services,39.07,23.4,56600,reports
HP Inc.,HPQ,Electronic Technology,26.26,10.9,56000,reports
Fidelity National Information Services,FIS,Technology Services,89.47,1568.4,55000,reports
Genuine Parts,GPC,Distribution Services,14.25,768.7,55000,reports
Halliburton Co.,HAL,Industrial Services,11.69,,55000,reports
Interpublic Group,IPG,Commercial Services,7.54,13.3,54300,reports
T-Mobile US,TMUS,Communications,139.11,36.4,53000,reports
Carrier Global,CARR,Producer Manufacturing,30.26,,52635,reports
PNC Financial Services,PNC,Finance,48.68,6.9,51918,reports
Capital One Financial,COF,Finance,35.61,38.5,51900,reports
Prudential Financial,PRU,Finance,27.15,,51511,reports
WestRock,WRK,Process Industries,10.45,13.5,51100,reports
International Paper,IP,Process Industries,18.24,29,51000,reports
LKQ Corporation,LKQ,Consumer Durables,10.01,17.8,51000,reports
Parker-Hannifin,PH,Producer Manufacturing,29.13,24.3,50520,reports
Ecolab Inc.,ECL,Process Industries,58.47,,50200,reports
Aon plc,AON,Finance,48.02,27.7,50000,reports
Baxter International Inc.,BAX,Health Technology,41.05,45.7,50000,reports
Las Vegas Sands,LVS,Consumer Services,38.71,,50000,reports
Trane Technologies plc,TT,Producer Manufacturing,30.93,32.9,50000,reports
Corning Inc.,GLW,Electronic Technology,27.06,348.8,49500,reports
Salesforce.com,CRM,Technology Services,227.97,97.8,49000,reports
MetLife Inc.,MET,Finance,37.16,5.3,49000,reports
The Bank of New York Mellon,BK,Finance,33.38,8.2,48400,reports
Chevron Corp.,CVX,Energy Minerals,139.7,,48200,reports
Estée Lauder Companies,EL,Consumer Non-Durables,84.97,126.7,48000,reports
VF Corporation,VFC,Consumer Non-Durables,29.16,,48000,reports
Cardinal Health Inc.,CAH,Distribution Services,14.48,,48000,reports
Jacobs Engineering Group,J,Industrial Services,12.92,31.3,48000,reports
PPG Industries,PPG,Process Industries,31.72,29.5,47600,reports
Humana Inc.,HUM,Health Services,58.78,16.8,47200,reports
Amcor plc,AMCR,Process Industries,17.21,28.9,47000,reports
Quest Diagnostics,DGX,Health Services,17.07,15.6,47000,reports
Willis Towers Watson,WLTW,Finance,27.03,26.8,46600,reports
Allstate Corp,ALL,Finance,28.5,6.9,46290,reports
American International Group,AIG,Finance,27.89,,46000,reports
Nielsen Holdings,NLSN,Commercial Services,5.06,,46000,reports
Illinois Tool Works,ITW,Producer Manufacturing,65.35,30.6,45000,reports
"Facebook, Inc.",FB,Technology Services,811.31,34,44942,reports
Waste Management Inc.,WM,Industrial Services,49.3,30.7,44900,reports
Fiserv Inc,FISV,Technology Services,67.76,80.2,44000,reports
Ulta Beauty,ULTA,Retail Trade,13.24,48.2,44000,reports
Seagate Technology,STX,Electronic Technology,13.02,13.2,42000,reports
Huntington Ingalls Industries,HII,Electronic Technology,6.19,11.8,42000,reports
Mohawk Industries,MHK,Consumer Durables,7.45,15.2,41800,reports
Howmet Aerospace,HWM,Non-Energy Minerals,8.26,15.9,41700,reports
Progressive Corp.,PGR,Finance,55.41,10.9,41571,reports
Quanta Services Inc.,PWR,Industrial Services,8.65,24.5,40300,reports
Stryker Corp.,SYK,Health Technology,83.35,53.4,40000,reports
Micron Technology,MU,Electronic Technology,58.83,22.9,40000,reports
Kimberly-Clark,KMB,Consumer Non-Durables,46.56,20.1,40000,reports
Cintas Corporation,CTAS,Consumer Services,35.37,39.5,40000,reports
State Street Corp.,STT,Finance,23.01,10.5,39103,reports
Goldman Sachs Group,GS,Finance,70.55,11.4,38300,reports
Archer-Daniels-Midland Co,ADM,Process Industries,28.82,16.4,38100,reports
Union Pacific Corp,UNP,Transportation,126.78,23.8,37483,reports
QUALCOMM Inc.,QCOM,Electronic Technology,145.41,54.3,37000,reports
Kraft Heinz Co,KHC,Consumer Non-Durables,38.35,,37000,reports
TechnipFMC,FTI,Industrial Services,2.91,,37000,reports
Dow Inc.,DOW,Process Industries,35.97,,36500,reports
Boston Scientific,BSX,Health Technology,53.18,13.1,36000,reports
Republic Services Inc,RSG,Industrial Services,29.58,27.8,36000,reports
Norwegian Cruise Line Holdings,NCLH,Consumer Services,5.06,,36000,reports
National Oilwell Varco Inc.,NOV,Industrial Services,3.57,,35479,reports
DuPont de Nemours Inc,DD,Process Industries,43.9,,35000,reports
General Mills,GIS,Consumer Non-Durables,37.77,16.4,35000,reports
Mylan N.V.,MYL,Health Technology,8.11,29.8,35000,reports
Textron Inc.,TXT,Electronic Technology,8.02,21.3,35000,reports
Colgate-Palmolive,CL,Consumer Non-Durables,68.03,26.5,34300,reports
YUM BRANDS INC,YUM,Consumer Services,30.53,29.9,34000,reports
Leidos Holdings,LDOS,Technology Services,12.2,20.3,34000,reports
Lilly (Eli) & Co.,LLY,Health Technology,136.18,23,33625,reports
Tractor Supply Company,TSCO,Retail Trade,16.25,21.3,33500,reports
Arthur J. Gallagher & Co.,AJG,Finance,20.67,28.7,33300,reports
Chubb Limited,CB,Finance,58.24,26.7,33000,reports
Exelon Corp.,EXC,Utilities,41.12,15.6,32713,reports
Newmont Corporation,NEM,Non-Energy Minerals,48.56,12.7,31600,reports
Kellogg Co.,K,Consumer Non-Durables,22.89,20.9,31000,reports
The Travelers Companies Inc.,TRV,Finance,31.91,14.4,30800,reports
Wynn Resorts Ltd,WYNN,Consumer Services,8.26,,30200,reports
AbbVie Inc.,ABBV,Health Technology,148.85,17.9,30000,reports
Bristol-Myers Squibb,BMY,Health Technology,135.53,,30000,reports
Avery Dennison Corp,AVY,Process Industries,11.83,22.5,30000,reports
Newell Brands,NWL,Producer Manufacturing,7.64,,30000,reports
Texas Instruments,TXN,Electronic Technology,137.65,28,29768,reports
J. B. Hunt Transport Services,JBHT,Transportation,13.61,27.5,29056,reports
BorgWarner,BWA,Producer Manufacturing,9.72,18.7,29000,reports
Duke Energy,DUK,Utilities,68.23,33.1,28793,reports
Southern Company,SO,Utilities,64.27,19.9,27943,reports
Freeport-McMoRan Inc.,FCX,Non-Energy Minerals,26.66,,27500,reports
Wabtec Corporation,WAB,Producer Manufacturing,11.81,28.2,27500,reports
Cerner,CERN,Technology Services,22.51,43.8,27400,reports
Carmax Inc,KMX,Retail Trade,14.92,22,27050,reports
PACCAR Inc.,PCAR,Producer Manufacturing,32.08,22.4,27000,reports
Xerox,XRX,Electronic Technology,4.2,10.3,27000,reports
Nucor Corp.,NUE,Non-Energy Minerals,15.15,35.5,26800,reports
Iron Mountain Incorporated,IRM,Finance,7.97,39.4,26750,reports
Booking Holdings Inc,BKNG,Consumer Services,74.67,30.3,26400,reports
Expedia Group,EXPE,Consumer Services,14.51,,25400,reports
Grainger (W.W.) Inc.,GWW,Distribution Services,19.38,31,25300,reports
Fortive Corp,FTV,Electronic Technology,22.42,45,25000,reports
Ralph Lauren Corporation,RL,Retail Trade,5.65,47.6,24900,reports
Fortune Brands Home & Security,FBHS,Producer Manufacturing,11.81,27.5,24700,reports
Alaska Air Group Inc,ALK,Transportation,5.14,,24134,reports
Global Payments Inc.,GPN,Technology Services,52.96,119.1,24000,reports
Dover Corporation,DOV,Producer Manufacturing,16.75,25.1,24000,reports
ViacomCBS,VIAC,Consumer Services,18.04,14.2,23990,reports
News Corp. Class A,NWSA,Consumer Services,8.26,,23500,reports
News Corp. Class B,NWS,Consumer Services,8.21,,23500,reports
Amgen Inc.,AMGN,Health Technology,133.05,18.6,23400,reports
PayPal,PYPL,Technology Services,238.23,93.6,23200,reports
Rockwell Automation Inc.,ROK,Producer Manufacturing,28.19,36.3,23000,reports
Adobe Inc.,ADBE,Technology Services,234.34,60.9,22634,reports
"S&P Global, Inc.",SPGI,Commercial Services,81.32,31.8,22500,reports
Applied Materials Inc.,AMAT,Producer Manufacturing,55.66,17.9,22000,reports
AmerisourceBergen Corp,ABC,Distribution Services,20.29,13,22000,reports
Masco Corp.,MAS,Producer Manufacturing,14.26,34.5,22000,reports
Leggett & Platt,LEG,Consumer Durables,5.88,26.5,22000,reports
Fastenal Co,FAST,Distribution Services,25.83,30.1,21948,reports
PVH Corp.,PVH,Consumer Non-Durables,4.62,,21500,reports
CSX Corp.,CSX,Transportation,62.19,22.7,21000,reports
Old Dominion Freight Line,ODFL,Transportation,23.54,39.8,20105,reports
"ZIMMER BIOMET HOLDINGS, INC.",ZBH,Health Technology,29.55,870.1,19900,reports
Fifth Third Bancorp,FITB,Finance,17.4,12.4,19869,reports
Northern Trust Corp.,NTRS,Finance,17.57,14.2,19800,reports
Charles Schwab Corporation,SCHW,Finance,72.53,18.6,19700,reports
Regions Financial Corp.,RF,Finance,13.23,17.3,19564,reports
Visa Inc.,V,Finance,421.34,38.6,19500,reports
Hartford Financial Svc.Gp.,HIG,Finance,14.55,8.1,19500,reports
Dominion Energy,D,Utilities,68.17,129.9,19100,reports
LyondellBasell,LYB,Process Industries,25.67,12.8,19100,reports
"United Rentals, Inc.",URI,Finance,13.57,12.5,19100,reports
Broadcom Inc.,AVGO,Electronic Technology,150.77,70,19000,reports
Henry Schein,HSIC,Distribution Services,9.68,24.2,19000,reports
Raymond James Financial Inc.,RJF,Finance,11.13,13,18910,reports
Hormel Foods Corp.,HRL,Consumer Non-Durables,26.77,29,18800,reports
Loews Corp.,L,Finance,10.16,,18605,reports
Mastercard Inc.,MA,Finance,329.96,46.2,18600,reports
Ball Corp,BLL,Process Industries,30.28,82.8,18300,reports
TransDigm Group,TDG,Electronic Technology,27.21,44.3,18300,reports
COTY INC.,COTY,Consumer Non-Durables,2.59,,18260,reports
AMETEK Inc.,AME,Producer Manufacturing,24.74,27.7,18100,reports
Microchip Technology,MCHP,Electronic Technology,28.41,45,18000,reports
Expeditors,EXPD,Transportation,15.96,26.8,18000,reports
Air Products & Chemicals Inc,APD,Process Industries,64.94,33.9,17700,reports
Molson Coors Beverage Company,TAP,Consumer Non-Durables,7.73,,17700,reports
Principal Financial Group,PFG,Finance,11.95,9.4,17601,reports
M&T Bank Corp.,MTB,Finance,13.62,10.4,17503,reports
"Tapestry, Inc.",TPR,Retail Trade,5.94,,17300,reports
Discover Financial Services,DFS,Finance,20.84,20.4,17200,reports
Motorola Solutions Inc.,MSI,Electronic Technology,29.68,35.2,17000,reports
Flowserve Corporation,FLS,Producer Manufacturing,4.13,27.4,17000,reports
Gartner Inc,IT,Commercial Services,11.43,48.1,16724,reports
Conagra Brands,CAG,Consumer Non-Durables,18.56,18.5,16500,reports
Synchrony Financial,SYF,Finance,16.2,12.8,16500,reports
Sealed Air,SEE,Process Industries,6.43,15.3,16500,reports
Roper Technologies,ROP,Electronic Technology,44.88,28,16460,reports
"Analog Devices, Inc.",ADI,Electronic Technology,45.9,41.8,16400,reports
Under Armour (Class A),UAA,Consumer Non-Durables,6.66,,16400,reports
Under Armour (Class C),UA,Consumer Non-Durables,5.79,,16400,reports
Agilent Technologies Inc,A,Health Technology,32.73,48.3,16300,reports
Xylem Inc.,XYL,Producer Manufacturing,16.48,65.4,16300,reports
BlackRock,BLK,Finance,97.18,21.1,16200,reports
Mettler Toledo,MTD,Health Technology,25.25,47.7,16200,reports
The Hershey Company,HSY,Consumer Non-Durables,30.44,28.5,16140,reports
Dish Network,DISH,Consumer Services,14.31,12,16000,reports
Paychex Inc.,PAYX,Technology Services,30.57,29,15800,reports
IHS Markit Ltd.,INFO,Finance,33.06,36,15500,reports
Packaging Corporation of America,PKG,Process Industries,11.3,21.9,15500,reports
C. H. Robinson Worldwide,CHRW,Transportation,13.56,29,15427,reports
Dentsply Sirona,XRAY,Health Technology,9.84,,15200,reports
A.O. Smith Corp,AOS,Producer Manufacturing,8.87,30.2,15100,reports
Garmin Ltd.,GRMN,Electronic Technology,19.28,20.3,15000,reports
Rollins Inc.,ROL,Consumer Services,19.73,91.2,14952,reports
Consolidated Edison,ED,Utilities,27.29,20.4,14890,reports
Align Technology,ALGN,Health Technology,37,20.6,14530,reports
Phillips 66,PSX,Energy Minerals,22.04,,14500,reports
Campbell Soup,CPB,Consumer Non-Durables,14.68,23.2,14500,reports
Eastman Chemical,EMN,Process Industries,11.82,20.5,14500,reports
Teleflex,TFX,Health Technology,17.04,36.2,14400,reports
Occidental Petroleum,OXY,Energy Minerals,9.32,,14400,reports
CenterPoint Energy,CNP,Utilities,12.11,,14262,reports
Assurant,AIZ,Finance,7.52,20.1,14200,reports
Tiffany & Co.,TIF,Retail Trade,14.99,60.1,14100,reports
Sempra Energy,SRE,Utilities,38.72,9.2,13969,reports
NextEra Energy,NEE,Utilities,148.4,38.1,13900,reports
Edwards Lifesciences,EW,Health Technology,49.99,63.4,13900,reports
Synopsys Inc.,SNPS,Technology Services,34.41,55.6,13896,reports
Nvidia Corporation,NVDA,Electronic Technology,335.8,98,13775,reports
Entergy Corp.,ETR,Utilities,21.81,17.6,13635,reports
Keysight Technologies,KEYS,Electronic Technology,20.19,33.5,13600,reports
International Flavors & Fragrances,IFF,Consumer Non-Durables,11.82,30.1,13600,reports
eBay Inc.,EBAY,Consumer Services,37.65,7.9,13300,reports
Domino’s Pizza,DPZ,Consumer Services,15.53,33.6,13100,reports
STERIS plc,STE,Health Technology,15.95,39.2,13000,reports
PerkinElmer,PKI,Health Technology,13.92,47.6,13000,reports
Edison Int’l,EIX,Utilities,22.88,19.4,12937,reports
Snap-on,SNA,Consumer Durables,9.18,15.8,12800,reports
The Mosaic Company,MOS,Process Industries,7.09,,12600,reports
Ameriprise Financial,AMP,Finance,20.49,8.9,12500,reports
McCormick & Co.,MKC,Consumer Non-Durables,26.21,34.4,12400,reports
FirstEnergy Corp,FE,Utilities,18.05,34.8,12316,reports
PPL Corp.,PPL,Utilities,22.04,12.4,12280,reports
The Cooper Companies,COO,Health Technology,19.01,63.2,12000,reports
Broadridge Financial Solutions,BR,Commercial Services,16.83,36.6,12000,reports
Gilead Sciences,GILD,Health Technology,76.21,,11800,reports
AFLAC Inc,AFL,Finance,26.98,9.4,11729,reports
Western Union Co,WU,Finance,9.03,15.3,11500,reports
Advanced Micro Devices Inc,AMD,Electronic Technology,96.23,155.5,11400,reports
Lincoln National,LNC,Finance,7.16,32.7,11357,reports
Lam Research,LRCX,Electronic Technology,51.35,20.3,11300,reports
Xcel Energy Inc,XEL,Utilities,37.55,26.7,11273,reports
Equifax Inc.,EFX,Commercial Services,18.61,43.3,11200,reports
Perrigo,PRGO,Health Technology,6.23,26,11200,reports
Kinder Morgan,KMI,Industrial Services,28.93,261.8,11086,reports
Moody’s Corp,MCO,Commercial Services,51.03,29.9,11000,reports
Allegion,ALLE,Producer Manufacturing,9.47,31.4,11000,reports
NetApp,NTAP,Electronic Technology,10.41,13.5,10800,reports
DTE Energy Co.,DTE,Utilities,24.11,19.4,10700,reports
Intuit Inc.,INTU,Technology Services,87.55,48,10600,reports
Zoetis Inc.,ZTS,Health Technology,77.68,48.2,10600,reports
KLA Corporation,KLAC,Electronic Technology,31.51,26.4,10600,reports
Live Nation Entertainment,LYV,Consumer Services,12.42,,10500,reports
ConocoPhillips,COP,Energy Minerals,34.75,15.7,10400,reports
ServiceNow,NOW,Technology Services,98.59,137.7,10371,reports
Unum Group,UNM,Finance,4.08,4.2,10300,reports
Valero Energy,VLO,Energy Minerals,17.11,,10222,reports
ZIONS BANCORPORATION,ZION,Finance,5.44,13.7,10188,reports
Lennar Corp.,LEN,Consumer Durables,24.48,10.7,10106,reports
