Company Name ,Country ,Reporting Year,Ticker Symbol ,ISIN ,Disclosure Score,Performance Band,Parent Account ,Permission,Response Status,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
CSX Corporation,USA,2013,CSX US,US1264081035,95,A,,Public,AQ*,5268905,300170
Valero Energy Corporation,USA,2013,VLO US,US91913Y1001,,,,Public,IN,,
3M Company,USA,2013,MMM US,US88579Y1010,70,D,,Public,AQ*,4540000,2230000
Walgreen Company,USA,2013,WAG US,US9314221097,86,C,,Not public,AQ*,,
"Prudential Financial, Inc.",USA,2013,PRU US,US7443201022,63,C,,Public,AQ*,5090,70613
"The Home Depot, Inc.",USA,2013,HD US,US4370761029,99,A-,,Public,AQ*,250224,2529646
Las Vegas Sands Corporation,USA,2013,LVS US,US5178341070,98,A-,,Public,AQ*,225157,821527
Bank of America,USA,2013,BAC US,US0605051046,98,A,,Public,AQ*,116666,1421829
Danaher Corporation,USA,2013,DHR US,US2358511028,12,,,Not public,AQ*,,
Discover Financial Services,USA,2013,DFS US,US2547091080,,,,Public,IN,,
"EOG Resources, Inc.",USA,2013,EOG US,US26875P1012,,,,Public,AQ*,,
"American International Group, Inc.",USA,2013,AIG US,US0268747849,62,D,,Not public,AQ*,,
McKesson Corporation,USA,2013,MCK US,US58155Q1031,,,,Not public,DP,,
Mondelez International Inc,USA,2013,MDLZ US,,91,B,,Public,AQ*,1075761,954755
American Tower Corp.,USA,2013,AMT US,US03027X1000,,,,Not public,DP,,
Alexion Pharmaceuticals,USA,2013,ALXN US,US0153511094,,,,,NR,,
FedEx Corporation,USA,2013,FDX US,US31428X1063,80,B,,Public,AQ*,14602697,959109
Comcast Corporation,USA,2013,CMCSA US,US20030N1019,,,,Public,IN,,
Public Storage,USA,2013,PSA US,US74460D1090,,,,,NR,,
General Dynamics Corporation,USA,2013,GD US,US3695501086,,,,,NR,,
Union Pacific Corporation,USA,2013,UNP US,US9078181081,98,B,,Public,AQ*,11595509,407176
Duke Energy Corporation,USA,2013,DUK US,US26441C2044,67,C,,Public,AQ*,123430000,
"Franklin Resources, Inc.",USA,2013,BEN US,US3546131018,86,C,,Public,AQ*,8175,29552
Marathon Petroleum,USA,2013,MPC US,US56585A1025,,,,Public,IN,,
DIRECTV,USA,2013,DTV US,US25490A3095,91,B,,Public,AQ*,106060,88145
"Medtronic, Inc.",USA,2013,MDT US,US5850551061,61,D,,Public,AQ*,31460,170685
Kimberly-Clark Corporation,USA,2013,KMB US,US4943681035,72,C,,Public,AQ*,2461675,2967804
Express Scripts Holding Company,USA,2013,MHS US,US58405U1025,,,,Not public,DP,,
Thermo Fisher Scientific Inc.,USA,2013,TMO US,US8835561023,75,D,,Public,AQ*,64863,297992
Norfolk Southern Corp.,USA,2013,NSC US,US6558441084,90,B,,Public,AQ*,4925238,252854
H.J. Heinz Company,USA,2013,HNZ US,US4230741039,27,,,Not public,AQ*,,
"WellPoint, Inc.",USA,2013,WLP US,US94973V1070,57,C,,Public,AQ*,7460,114199
Chevron Corporation,USA,2013,CVX US,US1667641005,97,A-,,Public,AQ*,58559220,3849319
"Praxair, Inc.",USA,2013,PX US,US74005P1049,98,B,,Public,AQ*,5355000,11329000
Twenty-First Century Fox,USA,2013,FOX US,,97,A-,,Public,AQ*,62360,376022
Costco Wholesale Corporation,USA,2013,COST US,US22160K1051,45,,,Public,AQ*,362802,1197983
Kraft Foods,USA,2013,KRFT US,US50076Q1067,81,B,,Public,AQ*,477813,695225
Newmont Mining Corporation,USA,2013,NEM US,US6516391066,92,B,,Public,AQ*,4016150,1182740
Google Inc.,USA,2013,GOOG US,US38259P5089,93,B,,Public,AQ*,37187,1149988
Microsoft Corporation,USA,2013,MSFT US,US5949181045,96,A,,Public,AQ*,48516,1207419
"Adobe Systems, Inc.",USA,2013,ADBE US,US00724F1012,97,A,,Public,AQ*,2744,22995
Intuitive Surgical Inc.,USA,2013,ISRG US,US46120E6023,,,,,NR,,
The Coca-Cola Company,USA,2013,KO US,US1912161007,90,A-,,Public,AQ*,2551626,1138377
Bristol-Myers Squibb,USA,2013,BMY US,US1101221083,96,B,,Public,AQ*,269734,262565
"Gilead Sciences, Inc.",USA,2013,GILD US,US3755581036,,,,,NR,,
CenturyLink,USA,2013,CTL US,US1567001060,66,D,,Public,AQ*,279522.5,2079911.5
Monsanto Company,USA,2013,MON US,US61166W1018,70,D,,Public,AQ*,1610000,539000
Precision Castparts Corp.,USA,2013,PCP US,US7401891053,,,,,NR,,
State Street Corporation,USA,2013,STT US,US8574771031,87,C,,Public,AQ*,10009.07,98756
"Lowe's Companies, Inc.",USA,2013,LOW US,US5486611073,85,D,,Public,AQ*,303721,2552740
General Electric Company,USA,2013,GE US,US3696041033,72,C,,Public,AQ*,1970000,2905000
Caterpillar Inc.,USA,2013,CAT US,US1491231015,,,,Public,IN,,
Oracle Corporation,USA,2013,ORCL US,US68389X1054,79,C,,Public,AQ*,16481,440773
"Marsh & McLennan Companies, Inc.",USA,2013,MMC US,US5717481023,98,B,,Public,AQ*,3429.21,97423.43
Dow Chemical Company,USA,2013,DOW US,US2605431038,90,B,,Public,AQ*,27429000,8403000
Viacom Inc.,USA,2013,VIAB US,US92553P2011,60,D,,Not public,AQ*,,
JPMorgan Chase & Co.,USA,2013,JPM US,US46625H1005,91,B,,Public,AQ*,83343,1219748
Colgate Palmolive Company,USA,2013,CL US,US1941621039,99,B,,Public,AQ*,232574,435061
Honeywell International Inc.,USA,2013,HON US,US4385161066,74,B,,Public,AQ*,5532844,1756275
Halliburton Company,USA,2013,HAL US,US4062161017,65,D,,Public,AQ*,4211808,839363
ConocoPhillips,USA,2013,COP US,US20825C1045,83,B,,Public,AQ*,24171000,1638000
AT&T Inc.,USA,2013,T US,US00206R1023,96,B,,Public,AQ*,948441,7894626
