"","EBIT","Operating.Cash.Flow","Operating.Income","EBITDA","Free.Cash.Flow","Gross.Profit","Net.Income.Com","Consolidated.Income","Stock.based.compensation","Dividends.per.Share.Growth","Days.Payables.Outstanding","daysOfInventoryOutstanding"
"1",1.021e+09,1.087e+09,9.28e+08,1.231e+09,9.11e+08,2.687e+09,3.16e+08,3.16e+08,7e+07,0.1288,25.2544,57.6394
"2",2.94e+09,3.533e+09,2.656e+09,5.099e+09,9.95e+08,2.4141e+10,1.412e+09,1.412e+09,8.6e+07,0,14.5292,13.9802
"3",611852000,811028000,604275000,850036000,619201000,4219413000,423847000,423847000,27760000,0,120.877,23.8102
"4",7.2903e+10,7.7434e+10,7.0898e+10,8.3806e+10,6.4121e+10,1.01839e+11,5.9531e+10,5.9531e+10,5.34e+09,0.1333,76.8054,67.3325
"5",6.341e+09,1.3427e+10,6.383e+09,8.106e+09,1.2789e+10,2.5035e+10,5.687e+09,5.687e+09,4.21e+08,0.4023,132.9593,59.9994
"6",1394635000,1411388000,1443685000,1713118000,1074977000,4612317000,1658405000,1615892000,62316000,0.0411,58.3273,24.5903
"7",3.733e+09,6.3e+09,3.65e+09,7.011e+09,4.906e+09,1.7872e+10,2.368e+09,2.368e+09,4.77e+08,0.0566,35.5116,61.8559
"8",5672945000,6026691000,5898779000,6599721000,5407504000,12493364000,4059907000,4214594000,976908000,0.0992,12.0098,66.7481
"9",2883118000,4029304000,2840369000,3229610000,3762725000,7835009000,2590774000,2590774000,609562000,0,7.5287,53.1767
"10",1892106000,2442361000,1881735000,2691169000,2187485000,4233302000,1495432000,1495432000,151165000,0.0678,15.3582,37.655
"11",2.419e+09,-4.784e+09,1.845e+09,3.36e+09,-5.626e+09,4.181e+09,1.81e+09,1.815e+09,1.09e+08,0.0469,46.3646,12.6676
"12",2385300000,2515200000,2557400000,2762900000,2044800000,5516800000,1884900000,1884900000,175400000,0.125,3.7081,55.0388
"13",1894300000,2754900000,1894300000,2381600000,2555100000,3570300000,963100000,963100000,80800000,0.0962,22.7774,110.3545
"14",-509100000,9e+05,-509100000,-400700000,-49800000,1753200000,-566900000,-566900000,261400000,0,16.8071,77.7706
"15",1.453e+09,2.17e+09,1.357e+09,2.391e+09,-1.68e+08,2.312e+09,8.15e+08,8.21e+08,2e+07,0.0394,47.4018,48.5622
"16",3023500000,5223200000,2682700000,5310100000,-1087700000,5039900000,1923800000,1931300000,0,0.0586,42.2408,43.4172
"17",2.967e+09,2.343e+09,2.115e+09,3.97e+09,2.22e+08,2.573e+09,1.203e+09,1.565e+09,0,0.0833,45.183,54.2264
"18",4.205e+09,6.014e+09,4.205e+09,4.205e+09,6.014e+09,9.758e+09,2.92e+09,2.92e+09,0,0.1954,17.6478,14.2759
"19",-5955900000,5640100000,-6247600000,792700000,5.417e+09,1.3596e+10,-5142800000,-5086200000,239800000,0.0286,110.6786,66.3096
"20",1.457e+09,6.1e+07,1.573e+09,6.819e+09,6.1e+07,1.6223e+10,-6e+06,6.1e+07,0,0,0,84.809
