"","EBIT","Operating.Cash.Flow","Operating.Income","EBITDA","Free.Cash.Flow","Gross.Profit","Net.Income.Com","Consolidated.Income","Stock.based.compensation","Dividends.per.Share.Growth","Days.Payables.Outstanding","daysOfInventoryOutstanding","Feature.1","Feature.2","Feature.3","Feature.4","Enterprise.Value"
"1",1.021e+09,1.087e+09,9.28e+08,1.231e+09,9.11e+08,2.687e+09,3.16e+08,3.16e+08,7e+07,0.1288,25.2544,57.6394,1.322312593,-0.3226217926,-0.1135368496,-1.16636014,20205078950
"2",2.94e+09,3.533e+09,2.656e+09,5.099e+09,9.95e+08,2.4141e+10,1.412e+09,1.412e+09,8.6e+07,0,14.5292,13.9802,0.2149867415,-1.934115767,1.691741467,0.6841001511,43904270777
"3",611852000,811028000,604275000,850036000,619201000,4219413000,423847000,423847000,27760000,0,120.877,23.8102,1.69224894,-2.307023287,0.8871960044,0.2911383212,11627037994
"4",7.2903e+10,7.7434e+10,7.0898e+10,8.3806e+10,6.4121e+10,1.01839e+11,5.9531e+10,5.9531e+10,5.34e+09,0.1333,76.8054,67.3325,1.926322699,-0.2283466011,-0.07699194551,-1.013046503,1.14583e+12
"5",6.341e+09,1.3427e+10,6.383e+09,8.106e+09,1.2789e+10,2.5035e+10,5.687e+09,5.687e+09,4.21e+08,0.4023,132.9593,59.9994,1.20543313,-0.4972319901,0.6669899821,-0.2909937799,1.70923e+11
"6",1394635000,1411388000,1443685000,1713118000,1074977000,4612317000,1658405000,1615892000,62316000,0.0411,58.3273,24.5903,0.1419883072,-0.09284677356,0.419545114,-0.9359362721,22245701997
"7",3.733e+09,6.3e+09,3.65e+09,7.011e+09,4.906e+09,1.7872e+10,2.368e+09,2.368e+09,4.77e+08,0.0566,35.5116,61.8559,-0.3744578362,-0.6757110953,1.216313958,-0.1115066633,1.42516e+11
"8",5672945000,6026691000,5898779000,6599721000,5407504000,12493364000,4059907000,4214594000,976908000,0.0992,12.0098,66.7481,3.329297066,-0.9671343565,-0.7940058708,-1.376684546,1.09029e+11
"9",2883118000,4029304000,2840369000,3229610000,3762725000,7835009000,2590774000,2590774000,609562000,0,7.5287,53.1767,-0.9257280827,0.3737454116,0.9253681302,-0.7590430379,1.23364e+11
"10",1892106000,2442361000,1881735000,2691169000,2187485000,4233302000,1495432000,1495432000,151165000,0.0678,15.3582,37.655,-0.9385458231,-0.3678407669,1.351242185,-0.201289922,37620934663
"11",2.419e+09,-4.784e+09,1.845e+09,3.36e+09,-5.626e+09,4.181e+09,1.81e+09,1.815e+09,1.09e+08,0.0469,46.3646,12.6676,1.606159329,-2.736975908,0.9503974915,0.3808734417,24848600044
"12",2385300000,2515200000,2557400000,2762900000,2044800000,5516800000,1884900000,1884900000,175400000,0.125,3.7081,55.0388,-1.512396097,0.7521420121,1.434407115,-0.4409009516,59241240615
"13",1894300000,2754900000,1894300000,2381600000,2555100000,3570300000,963100000,963100000,80800000,0.0962,22.7774,110.3545,1.087991357,-0.8818132281,0.6695897579,-0.2796958983,918386181.8
"14",-509100000,9e+05,-509100000,-400700000,-49800000,1753200000,-566900000,-566900000,261400000,0,16.8071,77.7706,-0.4596833289,-1.964258552,1.893704295,0.7326030135,25730049960
"15",1.453e+09,2.17e+09,1.357e+09,2.391e+09,-1.68e+08,2.312e+09,8.15e+08,8.21e+08,2e+07,0.0394,47.4018,48.5622,0.7016282082,-0.2818151116,0.2469286919,-0.9594659209,24955414512
"16",3023500000,5223200000,2682700000,5310100000,-1087700000,5039900000,1923800000,1931300000,0,0.0586,42.2408,43.4172,-0.1528614908,-0.2772367001,0.6951594353,-0.7047929764,61508453730
"17",2.967e+09,2.343e+09,2.115e+09,3.97e+09,2.22e+08,2.573e+09,1.203e+09,1.565e+09,0,0.0833,45.183,54.2264,1.084805131,-0.697286427,0.9075000882,-0.05171756074,27022821546
"18",4.205e+09,6.014e+09,4.205e+09,4.205e+09,6.014e+09,9.758e+09,2.92e+09,2.92e+09,0,0.1954,17.6478,14.2759,1.43462801,-0.01712188125,0.07681401819,-0.9590414762,35972886958
"19",-5955900000,5640100000,-6247600000,792700000,5.417e+09,1.3596e+10,-5142800000,-5086200000,239800000,0.0286,110.6786,66.3096,-1.179868817,3.490352392,0.8524589539,-1.405496716,66972040344
"20",1.457e+09,6.1e+07,1.573e+09,6.819e+09,6.1e+07,1.6223e+10,-6e+06,6.1e+07,0,0,0,84.809,0.006787783466,-0.5090165138,1.349722624,0.1051426902,56856996203
"21",853834000,396388000,215756000,1231620000,514732000,643588000,656597000,716603000,8550000,0.0552,0,0,-0.9165484905,-0.844217658,1.51232481,0.05091589689,10626162479
"22",432200000,656700000,433800000,559100000,5.74e+08,5.715e+09,236800000,252600000,57100000,0.0605,259.277,489.6579,-1.307196379,0.4581913948,1.331939101,-0.4175699949,5928903946
"23",575400000,765100000,7.69e+08,994400000,640700000,4214300000,633500000,675900000,55300000,0.0513,302.1594,255.6948,-0.5528431535,-0.3276839852,1.303692222,-0.1334155351,14908752400
"24",386291000,1008327000,362499000,820811000,602586000,1760989000,298373000,298373000,183813000,0,13.3239,64.528,0.04270458966,0.5731273293,-0.07893763483,-1.640612602,9616383868
"25",890793000,546165000,701112000,1091491000,-153826000,1217256000,693562000,739139000,15228000,0.0469,56.51,71.1378,2.221940517,-1.534243822,-0.544334352,-1.282515883,9335177557
"26",457958000,554681000,466564000,512685000,331369000,1447867000,400235000,400235000,70763000,0,11.9265,81.4843,0.9116675258,-2.324282408,1.414755821,0.6302238107,16015769913
"27",6.76e+08,1.195e+09,6.43e+08,1.074e+09,2.35e+08,4.415e+09,4.37e+08,4.37e+08,4.7e+07,0.0667,5.8301,16.1653,-1.153128505,-0.1548604667,1.11863327,-0.5511098504,8369798611
"28",3.076e+09,5.175e+09,8.939e+09,3.587e+09,4.898e+09,1.4349e+10,2.104e+09,2.252e+09,0,0.2432,0,56.4162,1.662513375,-0.7091793418,-0.3780032992,-1.327523232,31386264770
"29",528700000,457800000,525800000,614900000,408900000,1173300000,434900000,435400000,19600000,0.3125,31.3999,43.412,-0.3900731206,2.491349459,0.1432994455,-1.802623034,8731094869
"30",340400000,4.26e+08,386100000,745700000,2.13e+08,3756900000,77600000,77600000,2.03e+08,0,61.6874,81.4871,-0.6689810157,-0.4557274878,0.9554166198,-0.5318328142,23363388092
"31",4.928e+09,3.787e+09,4.796e+09,5.385e+09,3.165e+09,7.817e+09,3.313e+09,3.313e+09,2.58e+08,0.5,57.5648,49.1448,4.161217213,-0.9514482021,-0.8662320971,-1.310514569,31869665014
"32",4.49e+08,3.4e+07,4.51e+08,6.19e+08,-1.29e+08,2.447e+09,3.37e+08,3.37e+08,1.37e+08,0,58.6819,69.6178,0.8549079895,-0.6017428637,0.8857728243,-0.1308104694,18543057207
"33",1069925000,925518000,1075540000,1269415000,846012000,1659562000,777933000,777933000,27315000,0.5556,30.0964,55.1988,-2.586739302,0.5590302348,1.721455455,-0.4389855862,17992989304
"34",505500000,1140600000,7.67e+08,527500000,1121900000,2378400000,243600000,532300000,101100000,0.5,114.5766,61.4779,2.444628477,-0.3059120178,-0.524006784,-1.382672668,6277245914
